"","ccode","year","country","icrg_bq","icrg_ip","ifuel","isxp","log_milex_cap","log_rgdpch","milper","p_polity2","p_polity2_sq","rgdpch","rpc1","sip2","taxratio","totrev","xpolity","xpolity_sq","yhat","yhat_2"
"325",160,1985,"Argentina",2,3.67000007629395,7,0.0740000009536743,4.13249015808105,9.10047340393066,129,8,64,8951.0830078125,0.571625590324402,0.957767623967,0.0688999965786934,0.150800004601479,7,49,0.642690598964691,1.35730946063995
"326",160,1986,"Argentina",2,3.32999992370605,2,0.0716000005602844,3.62169218063354,9.16104793548584,104,8,64,9509.990234375,0.571627676486969,0.957767623967,0.0732999965548515,0.150199994444847,7,49,0.757339537143707,1.24266040325165
"327",160,1987,"Argentina",2,4.17000007629395,1,0.0692000001668935,3.6664445400238,9.17202663421631,118,8,64,9614.9609375,0.538443028926849,0.957767623967,0.0697999969124794,0.141399994492531,7,49,0.474089205265045,1.52591073513031
"328",160,1988,"Argentina",2,4.25,2,0.0667999997735027,3.66857099533081,9.1302490234375,95,8,64,9221.5859375,0.340543985366821,0.957767623967,0.0309999994933605,0.0926999971270561,7,49,0.447113007307053,1.55288696289062
"329",160,1989,"Argentina",2,4.42000007629395,3,0.0643999993801119,3.20478105545044,9.041259765625,95,7,49,8436.49609375,0.361559092998505,0.957767623967,0.0434999987483025,0.0984999909996986,6,36,0.389788538217545,1.61021149158478
"330",160,1990,"Argentina",2,4.75,8,0.061999998986721,3.16559195518494,9.01130390167236,85,7,49,8187.54638671875,0.361542105674744,0.957767623967,0.0414999984204769,0.104599997401237,5,25,0.278511643409729,1.72148835659027
"331",160,1991,"Argentina",2,5.67000007629395,6,0.0593999989330776,4.41266775131226,9.11280250549316,70,7,49,9062.11328125,0.390381008386612,0.957767623967,0.0397000014781952,0.112300008535385,5,25,-0.0317148827016354,2.03171491622925
"332",160,1992,"Argentina",2,6.82999992370605,9,0.0567999988794332,4.35408210754395,9.21382999420166,65,7,49,10025.375,0.434117585420609,0.957767623967,0.0423000007867813,0.123400002717972,5,25,-0.422869980335236,2.42286992073059
"333",160,1993,"Argentina",2,6.07999992370605,9,0.0541999988257889,4.37850713729858,9.26169300079346,65,7,49,10516.8359375,0.545749127864838,0.957767623967,0.0692000016570091,0.138799995183945,5,25,-0.169967949390411,2.16996788978577
"334",160,1994,"Argentina",2,6.75,10,0.0515999987721445,4.6906361579895,9.30289363861084,69,7,49,10959.1396484375,0.536116719245911,0.957767623967,0.0697999969124794,0.136099994182587,5,25,-0.395893812179565,2.39589381217957
"335",160,1995,"Argentina",2,6,10,0.0489999987185001,4.71463537216187,9.26526737213135,65,7,49,10554.4912109375,0.509781181812286,0.957767623967,0.0706999972462654,0.12950000166893,5,25,-0.142991751432419,2.14299178123474
"336",160,1996,"Argentina",2,6,13,0.0489999987185001,4.88171720504761,9.29697608947754,65,7,49,10894.486328125,0.465110450983047,0.957767623967,0.0816999971866608,0.130400002002716,5,25,-0.142991751432419,2.14299178123474
"337",160,1997,"Argentina",2.42000007629395,6.82999992370605,12,0.0489999987185001,4.93721151351929,9.35923290252686,65,7,49,11594.2255859375,0.490383625030518,0.957767623967,0.0869000032544136,0.135900005698204,5,25,-0.00286991544999182,2.42286992073059
"338",160,1998,"Argentina",3,8,8,0.0489999987185001,5.00072193145752,9.38723373413086,73,7,49,11923.427734375,0.509958326816559,0.957767623967,0.0903000012040138,0.137500002980232,5,25,0.182602792978287,2.81739711761475
"339",160,1999,"Argentina",3,7.17000007629395,8,0.0489999987185001,4.99806261062622,9.35757732391357,73,8,64,11575.048828125,0.511286318302155,0.957767623967,0.0908000022172928,0.14020000398159,6,36,0.462481021881104,2.5375189781189
"340",165,1984,"Uruguay",1,6,0,0.10659999847412,3.90749621391296,8.81884956359863,30,-7,49,6754.3037109375,0.308082014322281,0.419292175106,0.184599995613098,0.204300001263618,-3,9,-1.14299178123474,2.14299178123474
"341",165,1985,"Uruguay",1,5.17000007629395,0,0.116999998688698,3.79656434059143,8.82052707672119,30,9,81,6765.642578125,0.328782588243484,0.808181063995,0.212099999189377,0.227799981832504,6,36,-0.863113522529602,1.8631135225296
"342",165,1986,"Uruguay",1,5,0,0.118399998545646,3.90498995780945,8.91379928588867,30,9,81,7426.9833984375,0.282454997301102,0.808181063995,0.228300005197525,0.2466000020504,6,36,-0.805789053440094,1.80578899383545
"343",165,1987,"Uruguay",1,5.17000007629395,0,0.119799998402595,3.81473851203918,9.00423240661621,28,9,81,8129.8583984375,0.248297095298767,0.808181063995,0.215800002217293,0.237299993634224,6,36,-0.863113522529602,1.8631135225296
"344",165,1988,"Uruguay",1,6.57999992370605,0,0.121199998259544,3.96918153762817,8.9885835647583,29,9,81,8003.63916015625,0.359038710594177,0.808181063995,0.206400007009506,0.226499989628792,6,36,-1.33856928348541,2.3385694026947
"345",165,1989,"Uruguay",1,6,0,0.122599998116493,4.274085521698,8.98672962188721,27,10,100,7988.81591796875,0.468698889017105,0.975880538511,0.202099993824959,0.219699993729591,7,49,-1.14299178123474,2.14299178123474
"346",165,1990,"Uruguay",1,6.32999992370605,0,0.123999997973442,4.06349229812622,8.97870540618896,25,10,100,7924.97509765625,0.397692888975143,0.975880538511,0.219899997115135,0.238399997353554,7,49,-1.25426864624023,2.25426864624023
"347",165,1991,"Uruguay",1,6.75,0,0.113599997758868,4.34870100021362,9.01857471466064,25,10,100,8247.287109375,0.322739899158478,0.975880538511,0.236100003123283,0.254200011491776,7,49,-1.39589381217957,2.39589381217957
"348",165,1992,"Uruguay",1,7.32999992370605,0,0.103199997544291,4.23424530029297,9.11421394348145,25,10,100,9074.912109375,0.247935906052589,0.975880538511,0.2449000030756,0.26690000295639,7,49,-1.59147131443024,2.59147143363953
"349",165,1993,"Uruguay",1,7,0,0.0927999973297133,4.26008701324463,9.14733028411865,25,10,100,9380.439453125,0.178319901227951,0.975880538511,0.273799985647202,0.300300002098083,7,49,-1.48019444942474,2.48019456863403
