Unnamed: 0,resp_id,any_missing,party_lean,gender,highest_edu,trust_gov_dc_V241229,trust_court_system_V241230,corrupt_officials_V241233,trust_people_V241234,trust_election_officials_V241315,trust_judiciary_V242419,trust_gov_V242418,trust_congress_V242417,trust_news_media_V241335,trust_social_media_V242422,trust_parties_V242421,trust_scientists_V242420,x,y
141,140190,False,Strong Rep,Female,Advanced Degree,5,5,3,3,1,3,4,3,1,4,4,3,67.41779,-13.826158
142,140191,False,Independent,Female,Bachelors,4,4,4,2,5,2,3,3,3,3,4,1,-1.5226451,32.214695
143,140192,False,Strong Dem,Male,Advanced Degree,2,3,4,2,4,2,2,3,4,2,2,1,-83.54918,24.062298
144,140193,False,Strong Rep,Male,Bachelors,3,2,2,3,5,2,3,2,2,4,3,2,16.907707,-35.01166
145,140194,False,Lean Rep,Female,HS,3,3,4,3,4,2,3,3,3,2,3,3,-2.6213493,4.2755256
146,140196,False,Not strong Rep,Male,HS,5,5,1,2,2,4,4,4,3,4,4,4,84.77055,-5.0960026
147,140197,False,Not strong Rep,Male,Some college,4,3,3,4,2,2,3,2,2,3,3,2,20.087864,-45.63757
148,140199,False,Lean Dem,Male,Bachelors,4,2,4,2,4,2,2,3,5,2,3,1,-29.7094,58.209957
149,140202,False,Strong Rep,Male,Some college,4,2,3,2,3,1,2,3,1,4,3,2,3.7511773,-18.603123
150,140203,False,Strong Dem,Male,Advanced Degree,3,2,4,2,4,2,3,3,3,3,2,2,5.708297,1.3708388
151,140204,False,Strong Dem,Female,Bachelors,3,3,3,2,5,2,2,3,3,2,4,1,-10.243642,21.402716
152,140205,False,Not strong Rep,Male,Bachelors,4,2,3,3,4,2,4,3,3,2,4,2,-1.7746749,25.166458
153,140206,False,Not strong Rep,Female,Some college,4,4,2,2,2,2,3,3,2,2,3,2,50.52612,-33.487072
154,140208,False,Strong Rep,Female,Bachelors,3,3,4,3,3,2,3,3,1,3,3,2,20.651777,-9.522732
155,140209,False,Lean Rep,Male,Some college,5,2,2,4,2,2,4,4,2,4,4,2,47.581493,-19.915627
156,140210,False,Lean Rep,Male,Bachelors,4,4,3,2,2,3,3,3,2,3,3,3,73.33753,-7.7875967
157,140212,False,Strong Dem,Male,Some college,3,3,3,2,5,2,2,2,4,1,2,1,-74.65203,8.952168
158,140213,False,Strong Rep,Female,Some college,4,4,2,3,3,3,2,3,2,2,3,2,56.200176,9.19851
159,140214,False,Not strong Dem,Male,Bachelors,3,3,2,4,4,3,3,3,2,3,3,1,58.40113,41.93863
160,140215,False,Independent,Female,Some college,5,5,3,4,4,3,3,3,3,2,3,3,96.76696,-8.943923
161,140216,False,Strong Rep,Female,HS,5,5,3,3,3,3,3,3,3,2,3,3,96.2407,-8.8720665
162,140217,False,Lean Rep,Male,HS,4,4,2,4,1,3,4,4,3,4,4,2,74.10403,23.891037
163,140218,False,Lean Dem,Nonbinary,Bachelors,5,5,2,3,4,2,4,3,1,3,4,1,24.923576,17.120708
164,140219,False,Lean Dem,Male,Advanced Degree,2,1,4,4,4,2,2,2,3,2,2,1,-72.92704,-13.312872
165,140220,False,Not strong Dem,Male,Some college,4,4,4,2,4,2,2,2,2,1,3,1,-44.314365,18.175587
166,140221,False,Strong Rep,Male,HS,5,5,2,4,3,2,4,2,1,2,3,3,10.974154,-46.932396
167,140222,False,Lean Rep,Female,Advanced Degree,2,2,4,2,4,2,2,2,2,2,2,1,-92.26322,-9.09766
168,140223,False,Strong Dem,Female,HS,3,3,3,2,5,2,2,3,4,1,3,1,-27.031845,69.26211
169,140224,False,Strong Dem,Female,Bachelors,3,3,3,3,5,2,2,2,3,2,2,1,-68.84515,-6.0409656
170,140225,False,Lean Rep,Male,Some college,5,3,1,1,1,1,1,1,3,4,1,1,4.014748,-70.47799
171,140226,False,Strong Rep,Male,Some college,4,3,3,4,3,2,3,2,1,4,2,2,5.436516,-57.568844
172,140227,False,Strong Dem,Female,Bachelors,4,4,2,2,5,2,2,2,3,2,3,1,-34.584763,20.040438
173,140228,False,Independent,Female,Some college,5,5,2,4,2,3,3,3,2,3,3,2,58.757805,9.499366
174,140229,False,Not strong Dem,Female,Some college,3,2,3,3,4,2,3,3,3,2,3,2,-2.8073602,9.833173
175,140230,False,Independent,Female,<HS,3,3,3,4,3,3,2,2,4,2,2,2,-16.729656,14.181375
176,140231,False,Not strong Dem,Male,Bachelors,2,3,4,2,4,2,2,2,2,2,3,1,-43.944153,31.08663
177,140232,False,Lean Rep,Male,Bachelors,4,4,2,4,5,2,2,2,1,4,3,1,-0.7321546,-30.597233
178,140233,False,Strong Rep,Female,Bachelors,4,4,3,3,3,2,2,2,1,4,2,3,-9.791413,-76.325966
179,140235,False,Strong Rep,Male,Some college,5,4,2,4,1,2,3,3,1,4,3,2,50.531647,-42.761322
180,140236,False,Strong Dem,Female,Bachelors,3,4,4,2,5,3,3,3,3,2,3,1,18.808271,75.31043
181,140237,False,Strong Dem,Female,Bachelors,4,4,3,2,5,2,3,2,4,2,3,2,-45.969204,8.357932
182,140238,False,Not strong Dem,Male,Advanced Degree,4,4,2,2,5,1,3,3,3,3,3,2,34.526573,-15.397362
183,140239,False,Not strong Dem,Female,<HS,3,3,4,4,2,1,3,4,2,3,2,1,0.872776,-19.22136
184,140241,False,Lean Rep,Female,Some college,3,2,4,2,3,3,3,3,2,3,3,2,31.769062,15.498061
185,140242,False,Strong Rep,Female,Some college,4,4,2,2,3,3,2,2,1,4,3,2,18.179514,-75.83303
186,140243,False,Lean Rep,Male,Advanced Degree,3,2,4,2,5,1,2,2,3,3,4,2,-17.323086,-0.41940287
187,140245,False,Strong Dem,Male,Bachelors,3,2,4,2,5,2,2,2,3,2,2,1,-90.256645,-3.3926134
188,140249,False,Not strong Rep,Male,Advanced Degree,5,5,2,2,3,3,3,4,1,4,4,2,57.272568,34.4943
189,140250,False,Strong Dem,Female,Some college,3,3,3,3,4,3,4,4,2,2,3,2,49.753963,65.200516
190,140251,False,Not strong Dem,Male,<HS,3,3,4,4,5,3,2,4,3,4,3,3,37.72629,12.151406
191,140252,False,Not strong Dem,Female,Bachelors,4,4,4,3,3,2,2,2,3,2,2,2,-59.999123,-59.78844
192,140253,False,Lean Rep,Female,Advanced Degree,5,4,2,2,2,2,2,3,1,4,3,3,42.40309,-36.203537
193,140254,False,Strong Dem,Female,Advanced Degree,2,4,4,2,5,2,2,3,1,1,3,1,-29.365536,47.4475
